codigo,texto
586,FAULDING PHARMACEUTICAL C.O.
587,FCV  PHARMA SAS.
588,FCVPHARMA SAS
589,FDC VITAMINS INC.
590,FERRERINTERNACIONAL S.A
591,FLORIDA PRODUCTS LTDA.
592,FLOWERS E.U.
593,FOCUS PHARMACEUTICAL SAS
594,FOCUSPHARMACEUTICALS SAS
595,FOGENSA SAS
596,FOREROS CELULAS FRESCAS LTDA.
597,FROSST LABORATORIES INC
598,FRUVER Y CIA LTDA
599,FUNDACION HOSPITALARIA SAN VICENTE DE PAUL
600,GARMISCH PHARMACEUTICAL S.A
601,GEFENAC LTDA
602,GENDERM CORPORATION
603,GENERAL NUTRITION CORPORATION
604,GENESIS PHARMACEUTICAL LTDA.
605,GENMED SAS
606,GENVEN GENERICOS VENEZOLANOS SAS
607,GERARDO PEÑA OLAYA
608,GERIAPHARM SAS
609,GILBERTO CIFUENTES ROJAS
610,GILRAMITINTERNATIONALPHARMACEUTICAL LTDA. GILRAMIT LTDA.
611,GLAXO GROUPLIMITED
612,GLORIA AMPARO ORTIZ GOMEZ
613,GONHER FARMACEUTICA LTDA.
614,GOOD`N NATURAL MANUFACTURING CORP.
615,GOTLAND PHARMACEUTICAL S.A
616,GOVELCA LTDA
617,GUEPARDO SOLUCIONES EFECTIVAS SAS
618,GUSTAVO ANTONIO ARIAS BECERRA
619,H. LUNDBECK A/S
620,HALOCARBON LABORATOIRES
621,HARBIN THIRD PHARMACEUTICAL MANUFACTORY
622,HARPER QUIMICA LTDA
623,HARRAS PHARMA CURARINA
624,HEBER BIOTEC SAS
625,HEINRICH HAMKER LEBENSMITTELWERKE GMBH & CO. KG.
626,HERBALIFE INTERNATIONAL OF AMERICA INC.
627,HERITAGE COLOMBIA SAS
628,HERMES ARZNEIMITTEL GMBH.
629,HERNAN ALBERTO DELGADO DAVID
630,HOECHST AHTIENGESELISCHAFT
631,HOME PHARMACEUTICA LTDA
632,HORNER LTDA
633,HOSMAR LTDA.
634,HOSPIRA . INC
635,HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL
636,HUMAN CARE SAS
637,HUMBERTO RUEDA RUIZ.
638,IBEROINVESA
639,IBETH DALLY PEREZ LASSO
640,ICN AG PHARMACEUTICALS SAS
641,ICNAG FARMACEUTICALS DE COLOMBIA S A
642,ICOFARMA LTDA
643,ICOLPHARM PHARMACEUTICAL SAS
644,ICV PHARMA DE COLOMBIA SAS
645,IMED ORPHAN SAS
646,IMOMAQ LTDA
647,INCEPTAPHARMACEUTICALS LTD.
648,INDEFA SASI.C.
649,INES RICO DE MU¥OZ
650,INHALON PHARMACEUTICALS INC.
651,INNOVATE NUTRITION SAS.
652,IPEF LTDA.
653,ISMAEL ANGULO Q.
654,ISRAEL RODRIGUEZ
655,ISTITUTO FARMACOBIOLOGICO MALESCI S.P.A.
656,ITAL  QUIMICA SAS.
657,JAIRO DE JESÚS DUQUE SEGURA / PHARLAB
658,JESSNER PHARMACEUTICAL INTERNATIONAL SAS
659,JORGE DIAZ BOTERO
660,JOSE ALONSO VANEGAS CUERVO
661,JOUVEINAL LABORATORIES SAS
662,JPS PHARMA SAS
663,JUBILANT LIFE SCIENCES LIMITED
664,JUDITH ESTHER BLANQUICETH VASQUEZ
665,JULIAN ALBERTO DELGADO
666,JULIO ANIBAL CASTRO
667,KABI PHARMACIA A. B.
668,KEOPS FARMACEUTICA E. U.
669,KERACOMLTDA.
670,KLINTON LABORATORIES LIMITADA
671,KNOLL AG
672,KODAK AMERICAS LTD.
673,KOLKANA ENERGY SAS
674,KONSUMA DE COLOMBIA SAS
675,LAAR INDUSTRIAS QUIMICAS LTDA
676,LAARJGC INDUSTRIAS QUIMICAS LTDA
677,LABGAL LABORATORIOS GALENIKOS
678,LABINCO S.A
